Order ID,Order Date,Product Name,Sub-Category,Region,Sales,Profit,Discount,Quantity,Year,Month,YearMonth
CA-2016-152156,2016-11-08,Bush Somerset Collection Bookcase,Bookcases,South,261.96,41.9136,0.0,2,2016,11,2016-11
CA-2016-152156,2016-11-08,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs,South,731.94,219.582,0.0,3,2016,11,2016-11
CA-2016-138688,2016-06-12,Self-Adhesive Address Labels for Typewriters by Universal,Labels,West,14.62,6.8714,0.0,2,2016,6,2016-06
US-2015-108966,2015-10-11,Bretford CR4500 Series Slim Rectangular Table,Tables,South,957.5775,-383.031,0.45,5,2015,10,2015-10
US-2015-108966,2015-10-11,Eldon Fold 'N Roll Cart System,Storage,South,22.368,2.5164,0.2,2,2015,10,2015-10
CA-2014-115812,2014-06-09,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furnishings,West,48.86,14.1694,0.0,7,2014,6,2014-06
CA-2014-115812,2014-06-09,Newell 322,Art,West,7.28,1.9656,0.0,4,2014,6,2014-06
CA-2014-115812,2014-06-09,Mitel 5320 IP Phone VoIP phone,Phones,West,907.152,90.7152,0.2,6,2014,6,2014-06
CA-2014-115812,2014-06-09,DXL Angle-View Binders with Locking Rings by Samsill,Binders,West,18.504,5.7825,0.2,3,2014,6,2014-06
CA-2014-115812,2014-06-09,Belkin F5C206VTEL 6 Outlet Surge,Appliances,West,114.9,34.47,0.0,5,2014,6,2014-06
CA-2014-115812,2014-06-09,Chromcraft Rectangular Conference Tables,Tables,West,1706.184,85.3092,0.2,9,2014,6,2014-06
CA-2014-115812,2014-06-09,Konftel 250 Conference phone - Charcoal black,Phones,West,911.424,68.3568,0.2,4,2014,6,2014-06
CA-2017-114412,2017-04-15,Xerox 1967,Paper,South,15.552,5.4432,0.2,3,2017,4,2017-04
CA-2016-161389,2016-12-05,Fellowes PB200 Plastic Comb Binding Machine,Binders,West,407.976,132.5922,0.2,3,2016,12,2016-12
US-2015-118983,2015-11-22,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Appliances,Central,68.81,-123.858,0.8,5,2015,11,2015-11
US-2015-118983,2015-11-22,Storex DuraTech Recycled Plastic Frosted Binders,Binders,Central,2.544,-3.816,0.8,3,2015,11,2015-11
CA-2014-105893,2014-11-11,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Storage,Central,665.88,13.3176,0.0,6,2014,11,2014-11
CA-2014-167164,2014-05-13,Fellowes Super Stor/Drawer,Storage,West,55.5,9.99,0.0,2,2014,5,2014-05
CA-2014-143336,2014-08-27,Newell 341,Art,West,8.56,2.4824,0.0,2,2014,8,2014-08
CA-2014-143336,2014-08-27,Cisco SPA 501G IP Phone,Phones,West,213.48,16.011,0.2,3,2014,8,2014-08
CA-2014-143336,2014-08-27,"Wilson Jones Hanging View Binder, White, 1""",Binders,West,22.72,7.384,0.2,4,2014,8,2014-08
CA-2016-137330,2016-12-09,Newell 318,Art,Central,19.46,5.0596,0.0,7,2016,12,2016-12
CA-2016-137330,2016-12-09,"Acco Six-Outlet Power Strip, 4' Cord Length",Appliances,Central,60.34,15.6884,0.0,7,2016,12,2016-12
US-2017-156909,2017-07-16,"Global Deluxe Stacking Chair, Gray",Chairs,East,71.372,-1.0196,0.3,2,2017,7,2017-07
